-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
41,15,45,64,129923065,1000000,741,0.000741,590.8069989999931
42,15,45,64,129887622,1000000,794,0.000794,608.1865680000046
43,15,45,64,129878025,1000000,791,0.000791,614.5580250000057
44,15,45,64,129928863,1000000,803,0.000803,615.6909599999781
45,15,45,64,129888558,1000000,780,0.00078,602.498036999983
46,15,45,64,129909347,1000000,752,0.000752,618.1466340000043
47,15,45,64,129902535,1000000,789,0.000789,618.6801519999863
48,15,45,64,129893296,1000000,773,0.000773,617.5104260000226
49,15,45,64,129916101,1000000,774,0.000774,615.7375389999943
50,15,45,64,129919094,1000000,784,0.000784,612.2627759999887
51,15,45,64,129914469,1000000,790,0.00079,615.2955880000081
52,15,45,64,129929832,1000000,784,0.000784,612.2554969999765
53,15,45,64,129885020,1000000,795,0.000795,613.7974279999908
54,15,45,64,129918267,1000000,847,0.000847,613.7852100000018
55,15,45,64,129902448,1000000,874,0.000874,609.7732110000215
56,15,45,64,129903718,1000000,756,0.000756,577.6937610000023
57,15,45,64,129923868,1000000,768,0.000768,583.7170930000138
58,15,45,64,129886115,1000000,695,0.000695,596.7053580000065
59,15,45,64,129916036,1000000,765,0.000765,595.6328199999989
60,15,45,64,129918153,1000000,807,0.000807,605.7034430000058
61,15,45,64,129947093,1000000,812,0.000812,607.5130970000173
62,15,45,64,129902007,1000000,776,0.000776,611.1950739999884
63,15,45,64,129893429,1000000,757,0.000757,597.0992299999925
64,15,45,64,129923434,1000000,819,0.000819,609.7231339999998
65,15,45,64,129913120,1000000,775,0.000775,614.053951000009
66,15,45,64,129916299,1000000,786,0.000786,614.8827370000072
67,15,45,64,129894712,1000000,804,0.000804,603.4848659999843
68,15,45,64,129875748,1000000,770,0.00077,617.5099789999949
69,15,45,64,129900622,1000000,747,0.000747,611.1519409999892
70,15,45,64,129900588,1000000,812,0.000812,592.0709899999783
71,15,45,64,129921748,1000000,715,0.000715,585.6557069999981
72,15,45,64,129894651,1000000,725,0.000725,590.0414649999875
73,15,45,64,129948075,1000000,739,0.000739,597.6359640000155
74,15,45,64,129890869,1000000,790,0.00079,600.7358399999794
75,15,45,64,129930313,1000000,713,0.000713,537.9199749999971
76,15,45,64,129903788,1000000,764,0.000764,539.4813849999919
77,15,45,64,129884535,1000000,807,0.000807,539.9290570000012
78,15,45,64,129900556,1000000,772,0.000772,541.6079089999839
79,15,45,64,129880686,1000000,805,0.000805,541.6891380000161
80,15,45,64,129906577,1000000,776,0.000776,542.288241000002
81,15,45,64,129875658,1000000,795,0.000795,539.2560079999967
82,15,45,64,129898957,1000000,714,0.000714,540.48921900001
83,15,45,64,129895201,1000000,825,0.000825,539.1454540000123
84,15,45,64,129915538,1000000,739,0.000739,539.614522000018
85,15,45,64,129920295,1000000,807,0.000807,543.5238590000081
86,15,45,64,129915631,1000000,793,0.000793,543.3702619999822
87,15,45,64,129893073,1000000,800,0.0008,542.3941909999994
88,15,45,64,129883345,1000000,787,0.000787,536.3172930000001
89,15,45,64,129893803,1000000,754,0.000754,537.4879060000239
90,15,45,64,129908982,1000000,765,0.000765,538.8879379999998
91,15,45,64,129926787,1000000,802,0.000802,540.9913190000225
92,15,45,64,129920543,1000000,761,0.000761,539.2333199999994
93,15,45,64,129902984,1000000,810,0.00081,539.0444159999897
94,15,45,64,129904193,1000000,789,0.000789,538.5527839999995
95,15,45,64,129894335,1000000,786,0.000786,538.3173879999958
96,15,45,64,129888039,1000000,795,0.000795,539.5842410000041
97,15,45,64,129909147,1000000,817,0.000817,539.8575340000098
98,15,45,64,129925191,1000000,748,0.000748,537.6498000000138
99,15,45,64,129921332,1000000,720,0.00072,537.7327369999839
