blockHeight,gasLimit,gasUsed
5903248.0,137270.6553763476,198850.50576864497,0.6903208762066555
5903348.0,115019.99909087541,186147.2597661815,0.6178978902797246
5903448.0,146746.6657691763,222967.1856319027,0.6581536442382193
5903548.0,106435.3898149959,196033.16272576232,0.5429458380156428
5903648.0,127911.29772045862,182811.28848966694,0.6996903680140549
5903748.0,107440.25942872529,186418.529692501,0.5763389487404977
5903848.0,98437.7531727545,243363.69592668963,0.40448824052379484
5903948.0,106990.76842923794,181181.97492803205,0.5905155216005131
5904048.0,153210.39471299775,330057.3891094606,0.46419319720846147
5904148.0,123824.35045186602,244836.65981841806,0.5057426879769548
5904248.0,118512.83895816476,196956.88849087746,0.6017196954431678
5904348.0,109558.09694506599,178115.52561060284,0.6150957170605246
5904448.0,135190.68532972445,227300.99704142625,0.5947650344229928
5904548.0,117203.0551262999,193958.8107474313,0.6042677549663832
5904648.0,165866.69157053894,263575.0863436109,0.6292957876690441
5904748.0,103073.12192655193,181637.18337508786,0.5674670792141823
5904848.0,145632.70321878153,223202.9369249067,0.6524676835582028
5904948.0,101852.5254401451,185459.76205023524,0.5491893460564046
5905048.0,120874.37121238308,223700.78804329463,0.5403394966538485
5905148.0,97616.26033867696,183437.86612517934,0.5321489090592828
5905248.0,225274.06950080887,472582.58296979597,0.47668720265809444
5905348.0,248872.80294700936,338628.3266436103,0.7349438406815144
5905448.0,201377.61972934625,319862.64683074685,0.6295752934099362
5905548.0,258218.2377117708,371221.7232031122,0.6955903212875502
5905648.0,247712.53098910794,363523.6646829417,0.68142064755305
5905748.0,214424.34083366633,310999.7665227858,0.6894678514749182
5905848.0,294062.264930919,419202.9443910191,0.7014794835425275
5905948.0,352041.6186561911,499596.3392532234,0.7046521181128125
5906048.0,297809.659031614,428666.58261353255,0.6947349551157023
5906148.0,320487.28497751954,445644.62941230735,0.7191543750906665
5906248.0,183317.7320204214,293588.0697652568,0.624404568506466
5906348.0,194373.2282663005,280768.1097017776,0.6922909744726963
5906448.0,160018.5005879727,266654.96697647305,0.6000957057068099
5906548.0,221756.34888539652,342403.4731795585,0.6476463186140232
5906648.0,147323.65564079292,243881.12566908967,0.6040797754914792
5906748.0,184318.71458258867,314320.3835751842,0.5864039502818319
5906848.0,115099.23155862246,200688.48533194032,0.5735218508837088
5906948.0,218245.70444375055,398918.9859338534,0.5470927986364101
5907048.0,226579.41208972476,401923.42039742,0.5637377684178844
5907148.0,296035.10928705306,460064.97705721384,0.64346369328226
5907248.0,193911.05346841936,361701.10295182816,0.5361085489812418
5907348.0,126753.01515696524,258524.53626546395,0.49029394651658853
5907448.0,282068.6554173196,389240.9751269189,0.724663315123353
5907548.0,97901.11037853434,199074.29279848916,0.491781781576558
5907648.0,94204.80663396876,227113.12789099515,0.41479243189844645
5907748.0,78444.77453570084,174770.81194455485,0.44884368083491566
5907848.0,92794.94054195512,209024.32266662671,0.44394326630568226
5907948.0,121277.34012677187,241484.09341807198,0.5022166818946917
5908048.0,117510.61584992327,219955.41235757593,0.5342474394714564
5908148.0,91887.1201977572,178486.55382415812,0.5148125627899276
5908248.0,100404.23061760081,179199.46403600142,0.5602931412642477
